tanggal,kurs_idr_per_usd,kurs_change,kurs_change_pct
2021-12-31,14278.0,9.0,0.0631
2022-01-03,14270.0,-8.0,-0.056
2022-01-04,14310.0,40.0,0.2803
2022-01-05,14365.0,55.0,0.3843
2022-01-06,14396.0,31.0,0.2158
2022-01-07,14360.0,-36.0,-0.2501
2022-01-10,14323.0,-37.0,-0.2577
2022-01-11,14299.0,-24.0,-0.1676
2022-01-12,14302.0,3.0,0.021
2022-01-13,14311.0,9.0,0.0629
2022-01-14,14310.0,-1.0,-0.007
2022-01-17,14323.0,13.0,0.0908
2022-01-18,14325.0,2.0,0.014
2022-01-19,14370.0,45.0,0.3141
2022-01-20,14354.0,-16.0,-0.1113
2022-01-21,14347.0,-7.0,-0.0488
2022-01-24,14327.0,-20.0,-0.1394
2022-01-25,14358.0,31.0,0.2164
2022-01-26,14346.0,-12.0,-0.0836
2022-01-27,14385.0,39.0,0.2719
2022-01-28,14381.0,-4.0,-0.0278
2022-01-31,14392.0,11.0,0.0765
2022-02-02,14347.0,-45.0,-0.3127
2022-02-03,14381.0,34.0,0.237
2022-02-04,14376.0,-5.0,-0.0348
2022-02-07,14404.0,28.0,0.1948
2022-02-08,14385.0,-19.0,-0.1319
2022-02-09,14366.0,-19.0,-0.1321
2022-02-10,14344.0,-22.0,-0.1531
2022-02-11,14359.0,15.0,0.1046
2022-02-14,14338.0,-21.0,-0.1462
2022-02-15,14292.0,-46.0,-0.3208
2022-02-16,14278.0,-14.0,-0.098
2022-02-17,14301.0,23.0,0.1611
2022-02-18,14339.0,38.0,0.2657
2022-02-21,14329.0,-10.0,-0.0697
2022-02-22,14362.0,33.0,0.2303
2022-02-23,14355.0,-7.0,-0.0487
2022-02-24,14371.0,16.0,0.1115
2022-02-25,14369.0,-2.0,-0.0139
2022-03-01,14350.0,-19.0,-0.1322
